"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007500","......................... Cotton Textiles","193.351008","Billion PKR","Normal","","84","Outstanding Advances Of All Banks Against Cotton Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007600","............................... Indigenous","185.444487","Billion PKR","Normal","","85","Outstanding Advances Of All Banks Against Indigenous Cotton Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007700","............................... Imported","7.906521","Billion PKR","Normal","","86","Outstanding Advances Of All Banks Against Imported Cotton Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007800","......................... Cotton Yarn","98.455573","Billion PKR","Normal","","87","Outstanding Advances Of All Banks Against Cotton Yarn - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007900","............................... Indigenous","97.337792","Billion PKR","Normal","","88","Outstanding Advances Of All Banks Against Indigenous Cotton Yarn - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008000","............................... Imported","1.117781","Billion PKR","Normal","","89","Outstanding Advances Of All Banks Against Imported Cotton Yarn - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008100","......................... Other Textiles","186.825641","Billion PKR","Normal","","90","Outstanding Advances Of All Banks Against Other Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008200","............................... Indigenous","185.301419","Billion PKR","Normal","","91","Outstanding Advances Of All Banks Against Other Indigenous Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008300","............................... Imported","1.524222","Billion PKR","Normal","","92","Outstanding Advances Of All Banks Against Other Imported Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008400","......................... Machinery","53.399474","Billion PKR","Normal","","93","Outstanding Advances Of All Banks Against Machinery - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008500","............................... Locally Manufactured","26.809846","Billion PKR","Normal","","94","Outstanding Advances Of All Banks Against Locally Manufactured Machinery - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008600","............................... Imported","26.589628","Billion PKR","Normal","","95","Outstanding Advances Of All Banks Against Imported Machinery - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008700","......................... Handloom Products",".270488","Billion PKR","Normal","","96","Outstanding Advances Of All Banks Against Handloom Products - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008800","......................... Carpets and Rugs","1.960583","Billion PKR","Normal","","97","Outstanding Advances Of All Banks Against Carpets And Rugs - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0008900","......................... Readymade Garments","59.815712","Billion PKR","Normal","","98","Outstanding Advances Of All Banks Against Readymade Garments - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009000","......................... Cement and Cement Products","117.623773","Billion PKR","Normal","","99","Outstanding Advances Of All Banks Against Cement And Cement Products - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009100","............................... Indigenous","113.930334","Billion PKR","Normal","","100","Outstanding Advances Of All Banks Against Indigenous Cement And Cement Products - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009200","............................... Imported","3.693439","Billion PKR","Normal","","101","Outstanding Advances Of All Banks Against Imported Cement And Cement Products - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009300","......................... Sports Goods","1.481375","Billion PKR","Normal","","102","Outstanding Advances Of All Banks Against Sports Goods - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009400","......................... Surgical Instruments","14.267406","Billion PKR","Normal","","103","Outstanding Advances Of All Banks Against Surgical Instruments - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009500","......................... Chemicals and Dyes","55.431109","Billion PKR","Normal","","104","Outstanding Advances Of All Banks Against Chemicals And Dyes - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009600","......................... Other Finished Goods","265.676337","Billion PKR","Normal","","105","Outstanding Advances Of All Banks Against Other Finished Goods - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009700","............................... Indigenous","248.667034","Billion PKR","Normal","","106","Outstanding Advances Of All Banks Against Other Indigenous Finished Goods - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009800","............................... Imported","17.009303","Billion PKR","Normal","","107","Outstanding Advances Of All Banks Against Other Imported Finished Goods - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0009900","............. FIXED ASSETS","1387.029281","Billion PKR","Normal","","108","Outstanding Advances Of All Banks Against Fixed Assets - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010000","................... Transport equipment","436.215085","Billion PKR","Normal","","109","Outstanding Advances Of All Banks Against Transport Equipment - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010100","................... Furniture & Fixtures","16.824386","Billion PKR","Normal","","110","Outstanding Advances Of All Banks Against Furniture & Fixtures - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010200","................... Office equipment","60.355545","Billion PKR","Normal","","111","Outstanding Advances Of All Banks Against Office Equipment - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010300","................... Other machinery & equipment","873.634265","Billion PKR","Normal","","112","Outstanding Advances Of All Banks Against Other Machinery & Equipment - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010400","............. REAL ESTATE","1265.866983","Billion PKR","Normal","","113","Outstanding Advances Of All Banks Against Real Estate - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010500","................... Land","569.351397","Billion PKR","Normal","","114","Outstanding Advances Of All Banks Against Land - To Private Sector (Business)"
